100.53.176.122 - - [02/May/2026:10:36:47 +0000] "GET / HTTP/1.1" 200 270 "-" "python-requests/2.32.5" "100.53.176.122" response-time=4.857
98.84.143.120 - - [02/May/2026:10:44:50 +0000] "GET / HTTP/1.1" 400 57939 "-" "python-requests/2.32.5" "98.84.143.120" response-time=0.071
102.244.44.38 - - [02/May/2026:10:49:27 +0000] "GET /admin/ HTTP/1.1" 400 59479 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.031
102.244.44.38 - - [02/May/2026:10:49:28 +0000] "GET /favicon.ico HTTP/1.1" 400 59328 "https://hacksam01.pythonanywhere.com/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.021
98.84.143.120 - - [02/May/2026:11:01:59 +0000] "GET / HTTP/1.1" 200 4458 "-" "python-requests/2.32.5" "98.84.143.120" response-time=0.025
102.244.44.38 - - [02/May/2026:11:02:14 +0000] "GET /admin/ HTTP/1.1" 302 0 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.032
102.244.44.38 - - [02/May/2026:11:02:14 +0000] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1534 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.130
102.244.44.38 - - [02/May/2026:11:02:15 +0000] "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 1039 "https://hacksam01.pythonanywhere.com/admin/login/?next=/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.039
102.244.44.38 - - [02/May/2026:11:02:15 +0000] "GET /static/admin/css/base.css HTTP/1.1" 404 1034 "https://hacksam01.pythonanywhere.com/admin/login/?next=/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.055
102.244.44.38 - - [02/May/2026:11:02:15 +0000] "GET /static/admin/css/responsive.css HTTP/1.1" 404 1039 "https://hacksam01.pythonanywhere.com/admin/login/?next=/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.012
102.244.44.38 - - [02/May/2026:11:02:16 +0000] "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 1041 "https://hacksam01.pythonanywhere.com/admin/login/?next=/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.015
102.244.44.38 - - [02/May/2026:11:02:16 +0000] "GET /static/admin/js/theme.js HTTP/1.1" 404 1035 "https://hacksam01.pythonanywhere.com/admin/login/?next=/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.023
102.244.44.38 - - [02/May/2026:11:02:16 +0000] "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 1040 "https://hacksam01.pythonanywhere.com/admin/login/?next=/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.033
102.244.44.38 - - [02/May/2026:11:02:16 +0000] "GET /static/admin/css/login.css HTTP/1.1" 404 1035 "https://hacksam01.pythonanywhere.com/admin/login/?next=/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.040
102.244.44.38 - - [02/May/2026:11:02:16 +0000] "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 1041 "https://hacksam01.pythonanywhere.com/admin/login/?next=/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.025
102.244.44.38 - - [02/May/2026:11:02:16 +0000] "GET /static/admin/css/responsive.css HTTP/1.1" 404 1039 "https://hacksam01.pythonanywhere.com/admin/login/?next=/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.029
